,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,8950.0,4070.0,1339.0,3541.0,1646.0,3126.0,2992.0,1186.0,1015.0,2624.0,1444.0,2512.0,1355.0,919.0,2337.0,1578.0,929.0,1989.0,1198.0,720.0,2236.0,1748.0,873.0,438.0,1177.0,1758.0,619.0,1095.0,2093.0,800.0,1766.0,1621.0,430.0,526.0
Seg_Pct,1.0,0.454748603352,0.149608938547,0.395642458101,0.183910614525,0.349273743017,0.334301675978,0.13251396648,0.113407821229,0.293184357542,0.161340782123,0.280670391061,0.151396648045,0.102681564246,0.261117318436,0.176312849162,0.103798882682,0.222234636872,0.133854748603,0.0804469273743,0.249832402235,0.19530726257,0.0975418994413,0.048938547486,0.131508379888,0.196424581006,0.0691620111732,0.122346368715,0.233854748603,0.0893854748603,0.197318435754,0.181117318436,0.0480446927374,0.0587709497207
BALANCE,1541.04670676,882.425556278,4704.35111,1101.88361344,1718.82133648,1218.58957834,567.125281609,4601.21268231,4844.98699183,798.991504191,1722.27652557,1645.42743429,116.510335021,1502.75665145,1663.25520156,170.657092976,4862.54030316,1794.78812615,140.130917795,1033.84080702,1657.41269998,407.385567236,4304.27864304,5422.59749979,127.386091897,1335.18286993,1090.45375874,125.805556085,1714.0210765,4495.86365848,1324.13905183,411.959497909,5430.96795525,863.024510738
BALANCE_FREQUENCY,0.87808332,0.906566307125,0.972388167289,0.809684577238,0.961958783718,0.840137230326,0.836445561497,0.966734784148,0.968719473892,0.94982883003,0.971721637812,0.970642293392,0.399870931365,0.963898803047,0.969941148481,0.858620759189,0.967454428418,0.985570559075,0.410936298831,0.955887822222,0.970071792934,0.892680930778,0.960429501718,0.991859239726,0.38620208921,0.974784143914,0.95506480937,0.384585230137,0.978861736264,0.96738575,0.977250296716,0.896529668723,0.991707783721,0.795324319392
PURCHASES_FREQUENCY,0.49035054838,0.835408815479,0.369163882748,0.139568791302,0.898422534629,0.118294972489,0.725720230615,0.310867539629,0.333978969458,0.801118340701,0.910585542936,0.116625429538,0.250675738007,0.926267389554,0.0811026178862,0.79978645057,0.323576199139,0.780552157868,0.194221459933,0.925119215278,0.0783505849732,0.809858117849,0.273015064147,0.702568908676,0.196039896347,0.770717510808,0.926702948304,0.200674849315,0.0798643000478,0.2778165775,0.783767762741,0.807998101789,0.707168197674,0.395207155894
ONEOFF_PURCHASES_FREQUENCY,0.202457683575,0.305186567568,0.173479405527,0.095339738492,0.67588586452,0.106427173385,0.0660643983957,0.142607176223,0.159739807882,0.0955148746189,0.712237721607,0.100931006369,0.0865087630996,0.756253131665,0.0675152053915,0.026030360583,0.163640764263,0.320215417295,0.107854725376,0.745323143056,0.0616887911449,0.0112802677346,0.144210736541,0.247133410959,0.088111700085,0.443607327645,0.753287978998,0.0866919707763,0.0611981834687,0.1461155025,0.463339429219,0.011615681678,0.249211860465,0.117025758555
PURCHASES_INSTALLMENTS_FREQUENCY,0.364437341564,0.678987532924,0.261682532487,0.0417514930811,0.598723451397,0.0129293880358,0.663617168449,0.211008069983,0.225701361576,0.730449120427,0.596926142659,0.0163810497611,0.157061465683,0.625222711643,0.012211249893,0.750685474651,0.211737406889,0.591770310206,0.0837061494157,0.650286065278,0.0152200809481,0.767433576659,0.166776016037,0.618011184932,0.103494212404,0.500514902162,0.662990358643,0.109968824658,0.0170083516484,0.17283014,0.508725767271,0.773459264651,0.62279072093,0.260565659696
CASH_ADVANCE_FREQUENCY,0.134016688156,0.0352181093366,0.43874962584,0.132342814177,0.0513169860267,0.145740412988,0.0331458395722,0.472364854132,0.489516854187,0.0446221604421,0.0475269196676,0.183445193073,0.0413712221402,0.0385453949946,0.194337765083,0.0119008250951,0.506954108719,0.0814696098542,0.0484773464107,0.0346387333333,0.190101067979,0.0250180886728,0.530740036655,0.151647568493,0.0464252591334,0.0690054874858,0.0377327221325,0.0405393105023,0.184923005733,0.53507830125,0.063189202718,0.0206916384948,0.151488113953,0.202134220532
CASH_ADVANCE_TRX,3.07932960894,0.638329238329,12.1030619866,2.47274781135,0.986634264885,2.70793346129,0.617647058824,13.1728499157,13.99408867,0.823932926829,0.93351800554,3.45899681529,0.853874538745,0.801958650707,3.68549422336,0.185044359949,14.6124865447,1.58974358974,0.985809682805,0.756944444444,3.54740608229,0.431922196796,15.1672394044,3.91095890411,0.930331350892,1.29635949943,0.851373182553,0.862100456621,3.54276158624,15.72,1.2027180068,0.368908081431,3.85813953488,3.26425855513
CREDIT_LIMIT,4473.9752102,4576.19744124,7624.72333492,3165.05224513,7092.05898597,3206.25399872,3163.14989804,7488.74750882,7883.84684281,3169.58398774,7346.4882901,3143.43816348,3851.17302173,8001.32752992,3143.67422622,3245.57248659,8003.39563558,4046.52736515,3953.9904892,7813.29166667,3076.84108527,2968.50816518,7421.31104863,7684.36073059,3844.31983385,4538.35051309,7934.16801292,3971.74835109,3182.18665393,7677.06818182,4740.15866479,3120.45174135,7683.37209302,2369.90494297
PAYMENTS,1649.42036398,1653.42034272,3487.43898461,949.791206531,3200.50116812,995.12193735,788.139632584,3394.11667624,3653.24710127,889.727921807,3344.46692094,926.718714779,1152.9835702,4208.6721367,931.646033958,696.09729879,3786.92647396,1313.27358771,1242.64472857,4494.7748258,918.843525869,745.295221176,3670.23686755,2946.70412327,1200.30587879,1286.25199195,4899.26042684,1279.89613961,963.000955685,3897.37762653,1357.32460213,785.053436078,2921.47680098,511.176401814
MINIMUM_PAYMENTS,736.400478528,491.042089717,2090.40028326,506.409770796,695.046628984,549.099750971,497.672667918,1889.72604349,1942.80957944,626.341543842,669.504363936,733.726432759,122.086529917,602.895472075,715.445639374,189.753419484,1907.48840146,1075.19401177,129.113835115,378.734390597,625.347392605,351.145241891,1458.63950411,4497.60110935,126.183175636,519.998690668,396.763301126,131.403682951,661.99348138,1530.79356394,514.316047566,355.803849374,4508.04132609,318.66085335
PRC_FULL_PAYMENT,0.153714648492,0.284086862162,0.0332790806572,0.049407479808,0.293610011543,0.0457127898273,0.237478764706,0.0329084148398,0.0343829024631,0.209264822409,0.315369599723,0.0167055103503,0.217253594096,0.441935313384,0.0164827240051,0.400403836502,0.0365269052745,0.024614561086,0.180599594324,0.534913819444,0.0160435805009,0.330420844394,0.041581187858,0.00901133105023,0.18992824554,0.0644858856655,0.542531295638,0.195505825571,0.0158127921644,0.04147557875,0.0836798403171,0.330480927822,0.00879138837209,0.13744341635
